,FIPS,County,State
1,6001,Alameda,CA
2,6003,Alpine,CA
3,6005,Amador,CA
4,6007,Butte,CA
5,6009,Calaveras,CA
6,6011,Colusa,CA
7,6013,Contra Costa,CA
8,6015,Del Norte,CA
9,6017,El Dorado,CA
10,6019,Fresno,CA
11,6021,Glenn,CA
12,6023,Humboldt,CA
13,6025,Imperial,CA
14,6027,Inyo,CA
15,6029,Kern,CA
16,6031,Kings,CA
17,6033,Lake,CA
18,6035,Lassen,CA
19,6037,Los Angeles,CA
20,6039,Madera,CA
21,6041,Marin,CA
22,6043,Mariposa,CA
23,6045,Mendocino,CA
24,6047,Merced,CA
25,6049,Modoc,CA
26,6051,Mono,CA
27,6053,Monterey,CA
28,6055,Napa,CA
29,6057,Nevada,CA
30,6059,Orange,CA
31,6061,Placer,CA
32,6063,Plumas,CA
33,6065,Riverside,CA
34,6067,Sacramento,CA
35,6069,San Benito,CA
36,6071,San Bernardino,CA
37,6073,San Diego,CA
38,6075,San Francisco,CA
39,6077,San Joaquin,CA
40,6079,San Luis Obispo,CA
41,6081,San Mateo,CA
42,6083,Santa Barbara,CA
43,6085,Santa Clara,CA
44,6087,Santa Cruz,CA
45,6089,Shasta,CA
46,6091,Sierra,CA
47,6093,Siskiyou,CA
48,6095,Solano,CA
49,6097,Sonoma,CA
50,6099,Stanislaus,CA
51,6101,Sutter,CA
52,6103,Tehama,CA
53,6105,Trinity,CA
54,6107,Tulare,CA
55,6109,Tuolumne,CA
56,6111,Ventura,CA
57,6113,Yolo,CA
58,6115,Yuba,CA
