City_x,Zip,Estimate; Total:,White,Black or African American,American Indian and Alaska Native,Asian alone,Native Hawaiian and Other Pacific Islander,Some other race,Two races including Some other race,"Two races excluding Some other race, and three or more races",Three Races,Four Races
Aliso Viejo,92656,52335,36389,1386,292,8214,18,2695,865,2476,379,0
Anaheim,649633,364510,252674,8165,1355,59195,1904,29852,2206,9159,853,75
Brea,185644,41411,28588,655,235,8297,0,1752,235,1649,250,0
Buena Park,181241,81718,46043,2434,455,23791,613,5620,1021,1741,161,9
Capistrano Beach,92624,6454,5586,151,26,187,0,368,0,136,0,0
Corona Del Mar,92625,12187,10430,78,29,735,33,454,79,349,27,0
Costa Mesa,185253,113129,78015,1967,411,9905,690,17788,1117,3236,334,9
Cypress,90630,49093,27585,2125,236,15556,128,1467,237,1759,243,17
Dana Point,92629,26797,22269,145,70,844,0,2713,78,678,132,13
Foothill Ranch,92610,11895,7971,191,76,3074,58,86,32,407,78,0
Fountain Valley,92708,57675,31060,445,164,19032,158,4220,493,2103,187,22
Fullerton,371331,138825,77143,3472,378,34581,434,16190,1168,5459,537,16
Garden Grove,464213,176359,72222,1852,1033,69083,592,27536,901,3140,219,75
Huntington Beach,370590,198097,149753,2369,841,22543,757,12619,1535,7680,837,58
Irvine,833496,247802,121096,5369,314,101756,406,6677,1225,10959,363,7
La Habra,90631,68971,43778,656,404,8366,60,12993,989,1725,210,7
La Palma,90623,15886,6548,918,115,7388,134,248,138,397,39,0
Ladera Ranch,92694,25906,20744,501,0,2937,64,440,83,1137,76,0
Laguna Beach,92651,24612,22169,200,31,1200,88,334,30,560,9,0
Laguna Hills,92653,29028,20208,292,151,4327,124,2588,390,948,57,10
Laguna Niguel,92677,65645,50744,1286,453,6006,112,3260,854,2930,248,0
Laguna Woods,92637,16330,13397,105,0,2632,11,27,28,130,0,0
Lake Forest,92630,61081,41082,1519,313,8242,169,7257,362,2137,262,12
Los Alamitos,90720,22413,15876,508,49,2801,59,1423,335,1362,117,4
Midway City,92655,9257,2964,0,21,4973,124,890,80,205,0,0
Mission Viejo,185383,98322,78370,1494,212,9660,169,3187,680,4550,302,0
Newport Beach,370646,64625,55736,442,124,4213,130,2056,409,1515,234,0
Newport Coast,92657,9768,7477,0,28,1560,0,74,0,629,92,0
Orange,464335,144801,101554,2218,742,15821,351,19643,814,3658,181,26
Placentia,92870,53690,39334,578,54,8949,65,2571,607,1532,120,0
Rancho Santa Margarita,92688,45105,34921,763,144,5685,55,1558,450,1529,43,0
San Clemente,185345,65158,52494,377,139,2230,454,6060,964,2440,305,0
San Juan Capistrano,92675,36548,25830,176,429,1073,46,8202,228,564,37,0
Santa Ana,556226,358421,179366,3612,2067,40069,899,125794,2507,4107,387,148
Seal Beach,90740,24296,19891,291,41,2142,8,855,213,855,28,27
Silverado,92676,2156,1924,15,15,90,0,27,23,62,0,0
Stanton,90680,30373,17221,701,347,7676,42,3245,437,704,125,21
Sunset Beach,90742,627,560,0,23,34,0,0,0,10,0,0
Surfside,90743,368,298,5,0,0,12,24,6,23,0,0
Trabuco Canyon,185357,33351,27733,448,80,3235,53,517,122,1163,141,0
Tustin,185562,85191,38589,1945,433,18291,312,21525,882,3214,155,7
Villa Park,92861,5872,4419,148,0,1073,0,109,12,111,12,0
Westminster,92683,91613,36630,775,475,43808,191,6780,790,2164,143,22
Yorba Linda,185773,70173,51984,747,95,12345,55,1162,596,3189,187,11
