,City,2007 Crime,2008 Crime,2009 Crime,2010 Crime,2011 Crime,2012 Crime,2013 Crime,2014 Crime,2015 Crime,2016 Crime,Median
0,Aliso Viejo,1121.0,594.0,964.0,960.0,941,921.0,688.0,622.0,796.0,885.0,903.0
1,Anaheim,20491.0,11007.0,18399.0,19323.0,19582,22733.0,21525.0,18625.0,22654.0,21693.0,20036.5
2,Brea,3232.0,1638.0,2972.0,3132.0,3000,2777.0,2595.0,2401.0,2720.0,3097.0,2874.5
3,Buena Park,4829.0,2746.0,4527.0,4555.0,4288,4601.0,4823.0,4545.0,5626.0,5733.0,4578.0
4,Costa Mesa,7290.0,4172.0,7357.0,6971.0,7636,8782.0,7722.0,7671.0,10329.0,10166.0,7653.5
5,Cypress,2138.0,1157.0,1786.0,1805.0,1937,2250.0,2074.0,1706.0,1994.0,1791.0,1871.0
6,Dana Point,1305.0,787.0,1547.0,1428.0,1461,1441.0,1414.0,1172.0,1395.0,1348.0,1404.5
7,Fountain Valley,3257.0,1737.0,2722.0,2943.0,2861,3298.0,2674.0,2364.0,3312.0,3160.0,2902.0
8,Fullerton,9359.0,5128.0,8864.0,8714.0,7871,8938.0,8638.0,7264.0,8728.0,8043.0,8676.0
9,Garden Grove,9779.0,5245.0,7866.0,8422.0,7840,9084.0,7885.0,7184.0,10051.0,9895.0,8153.5
10,Huntington Beach,9044.0,5318.0,10119.0,10451.0,10189,11784.0,10797.0,9458.0,10927.0,9978.0,10154.0
11,Irvine,7041.0,3703.0,6519.0,6048.0,7006,7039.0,6996.0,6528.0,8222.0,7977.0,7001.0
12,Laguna Beach,1300.0,947.0,1423.0,1304.0,1531,1413.0,1226.0,1255.0,1472.0,1731.0,1358.5
13,Laguna Hills,1604.0,873.0,1493.0,1310.0,1485,1499.0,1325.0,1175.0,1333.0,1342.0,1337.5
14,Laguna Niguel,1630.0,942.0,1620.0,1564.0,1622,1825.0,1566.0,1459.0,1684.0,1837.0,1621.0
15,Laguna Woods,393.0,338.0,436.0,440.0,507,506.0,480.0,452.0,496.0,566.0,466.0
16,La Habra,3529.0,1869.0,3080.0,3014.0,3345,2800.0,2691.0,2516.0,2974.0,3115.0,2994.0
17,Lake Forest,2522.0,1365.0,2363.0,2313.0,2285,2600.0,2045.0,1782.0,2244.0,1917.0,2264.5
18,La Palma,896.0,537.0,671.0,669.0,746,930.0,890.0,733.0,849.0,1028.0,797.5
19,Los Alamitos,983.0,573.0,856.0,816.0,863,997.0,999.0,671.0,716.0,694.0,836.0
20,Mission Viejo,3055.0,1681.0,2786.0,2671.0,2846,2798.0,2378.0,2125.0,2612.0,2383.0,2641.5
21,Newport Beach,5083.0,2785.0,5007.0,4873.0,4964,4785.0,4750.0,4256.0,4866.0,4982.0,4869.5
22,Orange,6960.0,3787.0,5869.0,5736.0,5912,6247.0,5432.0,5076.0,6432.0,5967.0,5890.5
23,Placentia,1923.0,1375.0,2436.0,2173.0,2260,2338.0,2014.0,1946.0,1957.0,2049.0,2031.5
24,Rancho Santa Margarita,1457.0,910.0,1187.0,1105.0,1124,1015.0,940.0,785.0,1019.0,956.0,1017.0
25,San Clemente,2084.0,1301.0,2229.0,2039.0,2227,2180.0,2153.0,1864.0,2056.0,2102.0,2093.0
26,San Juan Capistrano,1480.0,1002.0,1565.0,1452.0,1375,1523.0,1355.0,1253.0,1350.0,1413.0,1394.0
27,Santa Ana,19974.0,10924.0,17509.0,16687.0,16244,17850.0,15495.0,14479.0,18197.0,17595.0,17098.0
28,Seal Beach,1269.0,974.0,1493.0,1529.0,1502,1507.0,1341.0,1424.0,1618.0,1532.0,1497.5
29,Stanton,2229.0,1489.0,1905.0,2003.0,1947,1874.0,2034.0,2020.0,2247.0,2138.0,2011.5
30,Tustin,3861.0,2202.0,3370.0,3824.0,3645,3963.0,3573.0,3405.0,4115.0,4273.0,3734.5
31,Villa Park,667.0,588.0,630.0,581.0,584,609.0,619.0,610.0,598.0,603.0,606.0
32,Westminster,6489.0,3563.0,5642.0,6048.0,5949,6767.0,5969.0,5261.0,6953.0,6507.0,6008.5
33,Yorba Linda,2611.0,1520.0,2497.0,2181.0,2193,2138.0,1917.0,1952.0,1833.0,1987.0,2062.5
